"KNR";"KONTO";"FINANZ";"ART";"STEXP"
50;"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert";"N";"";"N"
51;"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert";"N";"";"N"
52;"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert";"N";"";"N"
53;"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert";"N";"";"N"
54;"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert";"N";"";"N"
55;"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert";"N";"";"N"
56;"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert";"N";"";"N"
57;"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert";"N";"";"N"
58;"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert";"N";"";"N"
59;"Ausstehende Einlagen auf das Komplementär-Kapital, nicht eingefordert";"N";"";"N"
60;"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert";"N";"";"N"
61;"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert";"N";"";"N"
62;"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert";"N";"";"N"
63;"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert";"N";"";"N"
64;"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert";"N";"";"N"
65;"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert";"N";"";"N"
66;"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert";"N";"";"N"
67;"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert";"N";"";"N"
68;"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert";"N";"";"N"
69;"Ausstehende Einlagen auf das Komplementär-Kapital, eingefordert";"N";"";"N"
70;"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert";"N";"";"N"
71;"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert";"N";"";"N"
72;"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert";"N";"";"N"
73;"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert";"N";"";"N"
74;"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert";"N";"";"N"
75;"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert";"N";"";"N"
76;"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert";"N";"";"N"
77;"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert";"N";"";"N"
78;"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert";"N";"";"N"
79;"Ausstehende Einlagen auf das Kommandit-Kapital, nicht eingefordert";"N";"";"N"
80;"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert";"N";"";"N"
81;"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert";"N";"";"N"
82;"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert";"N";"";"N"
83;"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert";"N";"";"N"
84;"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert";"N";"";"N"
85;"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert";"N";"";"N"
86;"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert";"N";"";"N"
87;"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert";"N";"";"N"
88;"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert";"N";"";"N"
89;"Ausstehende Einlagen auf das Kommandit-Kapital, eingefordert";"N";"";"N"
90;"Rückständige fällige Einzahlungen auf Geschäftsanteile Aufwendungen für die Ingangsetzung und Erweiterung des Geschäftsbetriebs";"N";"";"N"
100;"Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten";"N";"";"N"
110;"Konzessionen";"N";"";"N"
120;"Gewerbliche Schutzrechte";"N";"";"N"
130;"Ähnliche Rechte und Werte";"N";"";"N"
135;"EDV-Software";"N";"";"N"
140;"Lizenzen an gewerblichen Schutzrechten und ähnlichen Rechten und Werten";"N";"";"N"
143;"Selbst geschaffene immaterielle Vermögensgegenstände";"N";"";"N"
144;"EDV-Software";"N";"";"N"
145;"Lizenzen und Franchiseverträge";"N";"";"N"
